IAA_Atual,IEG_Atual,IPS_Atual,IPP_Atual,IDA_Atual,Defasagem_Atual,IAA_A-1,IEG_A-1,IPS_A-1,IPP_A-1,IDA_A-1,Defasagem_A-1
7.0,8.7,4.4,7.0,5.3,0,9.0,7.9,3.77,7.291666667,5.0,-2.0
9.5,4.2,4.4,5.8,2.5,0,8.5,7.6,3.14,7.5,6.8,-1.0
0.0,7.1,6.3,7.7,3.3,1,9.0,7.8,4.39,6.875,7.3,-2.0
7.9,7.7,4.4,6.4,6.5,0,0.0,9.8,3.77,7.916666667,6.5,-1.0
7.5,9.5,7.5,7.2,7.0,1,8.0,9.7,7.52,7.5,6.1,-1.0
9.5,7.3,7.5,7.2,6.3,0,8.5,8.6,7.52,7.5,6.6,-2.0
9.0,9.5,8.1,8.8,8.3,1,8.5,9.5,7.52,8.125,8.4,0.0
8.0,9.8,6.3,7.7,8.0,0,0.0,9.0,7.52,8.333333333,8.1,-1.0
7.5,6.0,5.6,6.6,6.8,0,9.5,5.6,3.14,7.5,6.7,-2.0
8.5,7.8,7.5,7.5,7.3,1,9.0,8.7,5.0,8.333333333,5.0,0.0
8.0,8.0,5.6,7.2,6.8,0,8.5,7.3,3.77,8.125,5.9,-1.0
8.0,7.5,7.5,7.0,6.8,1,8.0,9.6,3.77,6.875,7.5,-1.0
0.0,6.9,6.3,7.7,4.0,0,0.0,8.0,3.14,7.5,7.4,-2.0
8.5,8.7,6.9,7.5,9.3,1,9.5,7.8,7.52,7.291666667,7.5,0.0
10.0,9.1,7.5,7.7,7.0,1,0.0,9.6,3.77,9.0625,8.0,-1.0
8.5,10.0,7.5,7.8,9.3,1,9.0,9.3,5.02,9.21875,8.0,-1.0
8.5,5.8,5.6,6.6,8.0,0,10.0,8.2,3.77,6.875,7.4,-1.0
9.0,8.9,7.5,7.0,9.3,0,8.5,9.8,7.52,8.75,9.0,-1.0
7.4,8.2,5.6,6.6,8.8,0,8.0,9.8,7.52,6.458333333,7.9,-1.0
10.0,6.3,7.5,7.0,3.3,0,0.0,7.2,7.52,7.5,6.9,-2.0
8.0,7.2,6.9,9.2,9.5,1,10.0,8.7,5.02,9.53125,7.8,-1.0
9.0,10.0,7.5,7.5,8.5,1,9.5,10.0,7.52,8.4375,6.8,0.0
10.0,6.6,7.5,8.3,6.3,1,7.9,7.4,7.52,9.0625,8.9,-1.0
9.0,5.3,3.8,5.0,2.8,1,0.0,9.5,3.14,5.625,5.4,-2.0
8.0,7.5,7.5,7.5,8.5,1,8.0,9.3,7.52,8.90625,6.5,-1.0
8.0,9.7,7.5,7.5,7.3,0,8.0,9.9,7.52,8.125,6.2,-2.0
9.0,10.0,6.3,7.5,8.5,1,9.5,9.3,3.77,8.125,7.0,-1.0
10.0,9.5,5.6,7.5,9.5,1,9.5,9.1,3.77,7.916666667,7.8,0.0
9.5,8.5,7.5,7.5,8.3,0,10.0,9.3,7.52,7.8125,6.6,-1.0
8.5,7.4,7.5,7.5,8.0,1,0.0,8.0,3.77,6.875,7.2,0.0
9.0,7.1,7.5,8.1,6.3,1,9.0,7.8,7.52,8.125,7.1,-1.0
10.0,9.8,5.0,7.7,7.3,1,7.9,8.1,3.14,8.28125,8.1,-1.0
10.0,6.4,6.3,6.6,3.8,0,10.0,9.1,3.14,7.8125,5.8,-2.0
10.0,8.1,7.5,7.5,7.0,1,8.5,7.9,7.52,8.90625,8.2,-1.0
7.4,7.9,6.3,5.8,7.5,0,9.0,8.5,6.27,5.833333333,6.9,-1.0
9.5,9.8,9.4,8.9,8.0,1,9.0,9.4,3.14,9.21875,8.4,0.0
9.2,8.7,7.5,8.0,8.3,0,6.9,7.5,6.26,6.458333333,5.4,0.0
8.5,7.5,7.5,7.2,7.0,1,8.0,7.5,7.52,7.96875,6.8,-1.0
9.0,9.3,7.5,7.5,6.0,1,10.0,9.6,7.52,9.0625,8.5,-1.0
8.0,8.2,7.5,7.9,4.0,1,9.0,9.2,7.52,8.90625,8.6,-1.0
8.0,8.0,7.5,7.5,7.5,1,8.5,8.4,7.52,8.28125,7.2,-1.0
8.5,7.1,5.6,6.9,6.5,0,6.9,7.4,7.52,6.666666667,7.0,-1.0
9.5,8.4,6.3,7.5,7.3,1,8.5,6.6,7.52,8.4375,6.2,-1.0
0.0,8.5,7.5,7.5,5.8,1,9.0,8.6,3.77,8.28125,5.7,-1.0
8.0,9.1,6.3,7.7,8.8,1,9.0,9.9,6.27,9.6875,9.2,-1.0
8.0,9.8,5.6,9.4,8.8,1,10.0,9.5,7.52,8.125,7.3,-1.0
8.0,10.0,6.3,9.1,7.5,1,10.0,9.8,2.52,7.96875,7.6,-1.0
8.0,9.5,6.3,9.7,9.8,1,9.0,9.7,3.77,9.0625,9.7,-1.0
9.6,6.0,6.3,7.8,3.3,1,9.0,8.6,3.14,7.96875,5.7,-1.0
8.5,8.9,6.3,8.8,7.3,1,9.0,9.7,7.52,8.333333333,8.4,-1.0
